Id,SalePrice
1461,127703.82196233254
1462,160279.747268293
1463,175746.01170214728
1464,189547.11022474855
1465,188607.0336077851
1466,165243.01007876665
1467,171641.47287341137
1468,160242.94387244625
1469,181338.60665639455
1470,122036.61878291213
1471,200104.118355164
1472,94629.81818201534
1473,94147.44855234277
1474,149421.72288123483
1475,122223.16012739838
1476,358910.2214722885
1477,253534.37640042478
1478,304970.1080210402
1479,290362.5495274784
1480,460648.2183163751
1481,304491.3868619183
1482,206395.02451939345
1483,173084.05445503315
1484,169722.0432922934
1485,202281.84181856902
1486,195110.8056092172
1487,330705.1964562259
1488,235702.67576628257
1489,206267.4058988638
1490,222866.50621676698
1491,193459.5878827939
1492,95573.17606249284
1493,180431.47054541533
1494,308142.8622993639
1495,288225.7293953505
1496,238912.60727047917
1497,179738.05529252056
1498,167669.20715807436
1499,168172.10528815875
1500,155055.0319509048
1501,170149.46225309474
1502,157402.597031116
1503,302514.87868780515
1504,254271.78624434592
1505,231878.17197046502
1506,181353.7986732852
1507,226627.83963137885
1508,200292.2955065058
1509,157807.23701123288
1510,142464.04053256777
1511,144143.33903859815
1512,163882.77316132278
1513,138880.957569806
1514,151215.27589504188
1515,183500.4471475277
1516,154870.38263412917
1517,160412.8831837249
1518,131223.3314222533
1519,228207.9064723052
1520,132958.67528654585
1521,133191.25322525992
1522,159955.12982183852
1523,100238.6466970898
1524,123691.14756351012
1525,121058.70694644282
1526,124180.1397709433
1527,111049.6426312468
1528,135270.88070768613
1529,139819.82499807
1530,170940.13544405918
1531,113374.79276175298
1532,107288.53254987444
1533,137490.03419965674
1534,114556.26603461658
1535,148447.4585873222
1536,112335.32447717481
1537,72121.45797093264
1538,171201.44577600274
1539,221150.8742501201
1540,99489.88890384174
1541,141222.24962106484
1542,133847.85733779313
1543,188872.99198645187
1544,84587.48714244794
1545,112162.47689240144
1546,127327.65613818483
1547,136871.13411635094
1548,134456.82081798968
1549,115725.61242766993
1550,128835.29531599584
1551,121376.65877093426
1552,132725.7481962048
1553,152076.9997775077
1554,105807.04080234384
1555,174160.60011765143
1556,87295.48796551122
1557,100155.41963137232
1558,99022.58642701662
1559,88320.34644761491
1560,141884.08562142748
1561,107900.68735772703
1562,128687.4117908894
1563,117123.67961384426
1564,147864.15883187513
1565,132436.29288931834
1566,252765.39962916283
1567,74351.85017173
1568,232038.99765621452
1569,139012.0390540071
1570,144048.3739116405
1571,117481.77442383455
1572,143275.57595947036
1573,232526.62121516105
1574,103772.81621244787
1575,232102.62866315484
